couleur_yeux,taille_cm,nombre_choisi,cours_par_session,peur_des_biostats,piece_monnaie,genre
Noir,174,92,6,Non,Face,Fille
Bleu,168,20,5,Pas_sur,Face,Fille
Noisette,158,11,5,Pas_sur,Face,Fille
Autre,177,99,5,Non,Face,Gars
Noisette,152,87,5,Pas_sur,Pile,Fille
Bleu,177,7,5,Non,Pile,Gars
Bleu,163,25,5,Pas_sur,Pile,Fille
Noir,186,27,4,Non,Pile,Gars
Bleu,150,87,5,Non,Face,Gars
Noisette,170,6,5,Non,Pile,Fille
Noir,165,88,5,Pas_sur,Pile,Fille
Bleu,180,6,3,Oui,Pile,Gars
Bleu,153,42,4,Pas_sur,Face,Fille
Bleu,177,9,5,Non,Pile,Fille
Bleu,1.53,8,5,Pas_sur,Pile,Autre
Bleu,156,7,5,Pas_sur,Pile,Fille
Autre,152,27,4,Pas_sur,Pile,Fille
Noisette,165,20,4,Oui,Pile,Fille
Noisette,168,7,5,Non,Face,Fille
Noisette,158,9,5,Oui,Pile,Fille
Noir,173,8,5,Oui,Pile,Fille
Autre,177,0,4,Pas_sur,Face,Gars
Noisette,164,1,5,Pas_sur,Pile,Fille
Autre,165.54,11,5,Non,Pile,Fille
Noisette,170,4,5,Pas_sur,Face,Fille
Bleu,155,22,5,Non,Face,Fille
Autre,195,69,5,Non,Face,Gars
Autre,174,66,4,Pas_sur,Face,Fille
Noisette,183,18,5,Pas_sur,Pile,Gars
Autre,164,66,4,Pas_sur,Pile,Fille
Bleu,153,1,5,Non,Face,Fille
Bleu,173,13,4,Pas_sur,Pile,Fille
Bleu,161,4,5,Non,Pile,Fille
Autre,170,14,4,Non,Face,Fille
Autre,164,16,5,Pas_sur,Pile,Fille
Noisette,152,7,4,Non,Pile,Fille
Bleu,170,4,5,Oui,Face,Fille
Noisette,170,72,4,Pas_sur,Pile,Fille
Bleu,159,18,4,Pas_sur,Face,Fille
Bleu,182,42,5,Pas_sur,Face,Gars
Autre,161,44,5,Non,Pile,Fille
Noisette,186,5,5,Non,Pile,Gars
Bleu,168,69,5,Non,Pile,Gars
Bleu,175,1,6,Pas_sur,Pile,Gars
Bleu,162,24,5,Non,Face,Fille
Autre,164,29,5,Pas_sur,Pile,Fille
Bleu,195.68,16,5,Pas_sur,Face,Fille
Bleu,155,22,5,Oui,Face,Fille
Noir,182,42,4,Non,Pile,Gars
Noisette,180,2,4,Oui,Face,Gars
Noisette,166,28,6,Non,Face,Fille
Noisette,173,94,4,Oui,Face,Gars
Autre,177,7,5,Non,Pile,Gars
Noir,161,5,4,Pas_sur,Face,Fille
Bleu,180,14,4,Pas_sur,Pile,Fille
Noir,177,6,5,Oui,Face,Gars
Bleu,160,34,4,Oui,Face,Fille
Bleu,165,26,4,Pas_sur,Pile,Fille
Noir,165,12,5,Pas_sur,Face,Fille
Noisette,157,66,4,Pas_sur,Face,Fille
